artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
blackThought	doinItAgain1	-1	3.5	84	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	doinItAgain2	-1	2.5	84	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	gameTheory	-1	3.75	96	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	gameTheory	NA	album	
blackThought	howIGotOver	-1	3	122	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	hustla1	-1	3.5	85	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	iRemember1	0	0.75	86	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	iRemember2	0	0.75	86	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	lighthouse2	0	2.25	90	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	makeMy2	0	1.25	84	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	nowOrNever	-1	3.5	93	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	oneTime2	0	0.5	87	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	stomp1	0	1.25	88.5	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	takeItThere1	0	0.25	100	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	gameTheory	NA	album	
blackThought	theDay2	0	0.25	95	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	theOtherSide1	-1	3.5	82	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
blackThought	theOtherSide2	0	1.25	82	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	undun	NA	album	
